"code","name","Ölçü Br1   ","Ölçü Br2   ","Pay-1   ","Payda-1   ","Ölçü Br3   ","Pay-2   ","Payda-2   ","price","Alış Fiyatı-1   "
"3M4510","3M 4510 TULUM","AD","","1","1","","1","1","0.00","0.00000"
"3M4515","3M 4515 TULUM","AD","","1","1","","1","1","0.00","0.00000"
"3M4530","4530 TULUM","AD","","1","1","","1","1","0.00","0.00000"
"3M4540","3M 4540 TULUM","AD","","1","1","","1","1","0.00","0.00000"
"3M4565","3M 4565 TULUM","AD","","1","1","","1","1","0.00","0.00000"
"3M4570","3M 4570 GRİ TULUM","AD","","1","1","","1","1","0.00","0.00000"
"3M501TK","3M 501 FİLTRE İÇİN TUTUCU KAPAK","AD","","1","1","","1","1","0.00","0.00000"
"3M5911","3M 5911 P1 FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M5925","3M 5925 P2 FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M5935","3M 5935 P3 FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M6035","3M 6035 SOLO FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M6051","3M 6051B FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M6051A","3M 6051 A1 FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M6055","3M 6055 B.GAZ-BUHAR FİLTRESİ","AD","","1","1","","1","1","0.00","0.00000"
"3M6057","3M 6057 FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M6059","3M 6059 ABEK1 GAZ BUHAR KOMBİNE FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M6200","3M 6200 YARIM YÜZ MASKESİ","AD","","1","1","","1","1","0.00","0.00000"
"3M6502","3M 6502QL HIZLI AÇ.TEKRAR KUL.MASKE","AD","","1","1","","1","1","0.00","0.00000"
"3M6800S","3M 6800S TAM YÜZ MASKESİ","AD","","1","1","","1","1","0.00","0.00000"
"3M6900","3M 6900 TAM YÜZ MASKE","AD","","1","1","","1","1","0.00","0.00000"
"3M71360","3M 71360-00011M FAHRENHEIT PC AS/AF","AD","","1","1","","1","1","0.00","0.00000"
"3M7502","3M 7502 YARIM YÜZ MASKESİ","AD","","1","1","","1","1","0.00","0.00000"
"3M751120","3M 751120 SPEEDGLAS KAYNAKÇI BAŞLIĞI","AD","","1","1","","1","1","0.00","0.00000"
"3M8322","3M 8322 FFP2 MASKE","AD","","1","1","","1","1","0.00","0.00000"
"3M8835","3M 8835 FFP3 TOZ SİS DUMAN MASKESİ","AD","","1","1","","1","1","0.00","0.00000"
"3M9310","3M 9310 AURA TOZ MASKESİ","AD","","1","1","","1","1","0.00","0.00000"
"3M9312","3M 9312 VENTİLLİ İNCE TOZ MASKESİ","AD","","1","1","","1","1","0.00","0.00000"
"3M9322","3M 9322 VENTİLLİ İNCE TOZ MASKESİ FFP2","AD","","1","1","","1","1","0.00","0.00000"
"3M9926","3M 9926 DÜŞÜK KONSANTRASYON ASİT GAZ MASKESİ","AD","","1","1","","1","1","0.00","0.00000"
"3M9928","3M 9928 KAYNAK DUMANI MASKESİ","AD","","1","1","","1","1","0.00","0.00000"
"3MC111","3M C111 FFP1 VENTİLLİ MASKE","AD","","1","1","","1","1","0.00","0.00000"
"3MC112","3M C112 FFP2 VENTİLLİ MASKE","AD","","1","1","","1","1","0.00","0.00000"
